;Current Best;Current Average;Current Worst;Global Best
0;1891,9517;2207,8418;2484,0667;1891,9517
1;1832,0566;2085,3237;2447,492;1832,0566
2;1708,5435;2025,8367;2355,1448;1708,5435
3;1708,5435;1978,2731;2450,867;1708,5435
4;1602,7964;1889,4169;2231,791;1602,7964
5;1531,9451;1814,2421;2203,099;1531,9451
6;1425,938;1726,7231;2067,476;1425,938
7;1425,938;1658,9308;1932,5107;1425,938
8;1425,938;1635,2947;1883,8972;1425,938
9;1422,3291;1579,6422;1796,7285;1422,3291
10;1419,4897;1500,0625;1948,347;1419,4897
11;1391,9293;1451,3237;1770,1431;1391,9293
12;1388,3203;1427,6439;1588,9541;1388,3203
13;1374,5903;1426,6343;1754,0997;1374,5903
14;1289,7582;1422,0431;1678,3608;1289,7582
15;1248,9109;1411,3788;1686,4597;1248,9109
16;1205,6908;1374,5724;1705,1377;1205,6908
17;1205,6908;1376,8905;1726,3539;1205,6908
18;1205,6908;1367,6322;1831,3912;1205,6908
19;1200,4233;1309,3676;1741,2062;1200,4233
20;1200,4233;1260,2487;1558,4006;1200,4233
21;1200,4233;1238,0935;1573,4503;1200,4233
22;1200,4233;1216,4542;1514,8575;1200,4233
23;1200,4233;1221,7328;1536,6908;1200,4233
24;1200,4233;1234,6779;1583,5507;1200,4233
25;1200,4233;1233,2252;1514,7578;1200,4233
26;1200,4233;1213,2236;1547,53;1200,4233
27;1200,4233;1226,8322;1623,2742;1200,4233
28;1169,0298;1223,8391;1497,7859;1169,0298
29;1169,0298;1235,9819;1517,2112;1169,0298
30;1161,5375;1218,5184;1596,2585;1161,5375
31;1161,5375;1196,5214;1454,281;1161,5375
32;1161,5375;1232,0378;1598,2299;1161,5375
33;1161,5375;1229,5309;1593,886;1161,5375
34;1157,8062;1191,4974;1591,7576;1157,8062
35;1154,2666;1174,1444;1469,8723;1154,2666
36;1150,5353;1196,303;1533,1035;1150,5353
37;1144,0869;1219,6726;1543,5002;1144,0869
38;1144,0869;1173,0142;1496,4524;1144,0869
39;1144,0869;1170,113;1505,8743;1144,0869
40;1144,0869;1164,0435;1564,7034;1144,0869
41;1144,0869;1151,3931;1456,6154;1144,0869
42;1144,0869;1158,3975;1506,0828;1144,0869
43;1144,0869;1157,9576;1545,0671;1144,0869
44;1144,0869;1172,5361;1550,3312;1144,0869
45;1144,0869;1181,5142;1609,7538;1144,0869
46;1144,0869;1155,3921;1449,3083;1144,0869
47;1144,0869;1167,9098;1534,6321;1144,0869
48;1144,0869;1179,3458;1452,1263;1144,0869
49;1144,0869;1165,2623;1544,9045;1144,0869
50;1144,0869;1159,2616;1474,4187;1144,0869
51;1144,0869;1155,05;1480,9604;1144,0869
52;1144,0869;1165,9285;1562,6992;1144,0869
53;1144,0869;1164,7004;1617,6774;1144,0869
54;1144,0869;1177,0754;1506,7493;1144,0869
55;1144,0869;1173,9551;1474,4187;1144,0869
56;1144,0869;1159,4985;1551,5258;1144,0869
57;1136,4376;1165,0696;1598,3143;1136,4376
58;1136,4376;1168,7169;1531,856;1136,4376
59;1136,4376;1168,0751;1613,5422;1136,4376
60;1136,4376;1161,0204;1507,8127;1136,4376
61;1135,1427;1154,6538;1573,3513;1135,1427
62;1135,1427;1170,2036;1483,972;1135,1427
63;1135,1427;1164,4352;1605,8928;1135,1427
64;1135,1427;1239,3976;1702,0118;1135,1427
65;1135,1427;1187,035;1512,7458;1135,1427
66;1135,1427;1170,9814;1611,1548;1135,1427
67;1135,1427;1155,4429;1473,2843;1135,1427
68;1135,1427;1155,616;1487,7758;1135,1427
69;1135,1427;1158,5364;1550,7887;1135,1427
70;1130,0203;1146,0728;1407,5332;1130,0203
71;1130,0203;1159,2534;1548,9199;1130,0203
72;1130,0203;1176,3654;1517,4993;1130,0203
73;1130,0203;1141,656;1437,7372;1130,0203
74;1130,0203;1151,48;1489,3237;1130,0203
75;1130,0203;1147,0116;1484,6572;1130,0203
76;1130,0203;1152,182;1453,4784;1130,0203
77;1130,0201;1151,1096;1412,1726;1130,0201
78;1130,0201;1150,0505;1520,1719;1130,0201
79;1114,5531;1180,8821;1576,8718;1114,5531
80;1114,5531;1194,2319;1476,8313;1114,5531
81;1114,5531;1192,84;1567,7302;1114,5531
82;1114,5531;1187,6532;1702,8135;1114,5531
83;1114,5531;1188,7651;1533,7551;1114,5531
84;1114,5531;1147,7671;1491,2639;1114,5531
85;1114,5531;1126,8574;1365,4697;1114,5531
86;1114,5531;1125,9991;1361,7639;1114,5531
87;1114,5531;1128,8978;1541,5271;1114,5531
88;1114,5531;1118,019;1255,3668;1114,5531
89;1114,5531;1141,1406;1454,0137;1114,5531
90;1114,5531;1138,82;1536,5715;1114,5531
91;1114,5531;1136,1383;1460,7417;1114,5531
92;1114,5531;1133,6703;1445,79;1114,5531
93;1114,5531;1135,5503;1437,5309;1114,5531
94;1114,5531;1133,9396;1471,3383;1114,5531
95;1114,5531;1140,1167;1459,2605;1114,5531
96;1114,5531;1151,6555;1532,6262;1114,5531
97;1114,5531;1142,7172;1536,5933;1114,5531
98;1114,5531;1134,8347;1420,7214;1114,5531
99;1114,5531;1145,0485;1490,175;1114,5531
