0; 1000_10_100;898,3816;;;;;;;;;;
1; 1000_10_100;918,1072;;;;;;;;;;
2; 1000_10_100;859,9374;;;;;;;;;;
3; 1000_10_100;937,44495;;;;;;;;;;
4; 1000_10_100;825,569;;;;;;;;;;
5; 1000_10_100;848,8236;;;;;;;;;;
6; 1000_10_100;889,789;;;;;;;;;;
7; 1000_10_100;842,2224;;;;;;;;;;
8; 1000_10_100;882,0236;;Best;Worst;Average;;;;Best;Worst;Average
9; 1000_10_100;878,70874;;825,569;937,44495;878,100749;;;;825,569;937,44495;878,100749
0; 1000_20_100;909,5071;;;;;;;;827,77344;971,29974;889,272472
1; 1000_20_100;918,1072;;;;;;;;810,57355;944,29944;886,519298
2; 1000_20_100;827,77344;;;;;;;;832,6676;971,3872;883,635886
3; 1000_20_100;922,4574;;;;;;;;815,552;898,48975;858,404119
4; 1000_20_100;861,30164;;;;;;;;812,2496;923,41003;869,737143
5; 1000_20_100;855,2238;;;;;;;;826,3541;955,126;889,522174
6; 1000_20_100;971,29974;;;;;;;;817,75433;901,4464;861,339997
7; 1000_20_100;918,9321;;;;;;;;825,9694;955,55927;880,12717
8; 1000_20_100;852,938;;Best;Worst;Average;;;;817,2635;886,77985;851,489758
9; 1000_20_100;855,1843;;827,77344;971,29974;889,272472;;;;821,64325;900,84894;863,432179
0; 1000_30_100;894,1987;;;;;;;;817,5276;896,51086;849,076595
1; 1000_30_100;920,94476;;;;;;;;808,2016;955,55927;859,635929
2; 1000_30_100;872,51654;;;;;;;;817,2576;914,91003;859,780445
3; 1000_30_100;879,54395;;;;;;;;810,6941;932,11194;879,444088
4; 1000_30_100;815,552;;;;;;;;817,75433;896,50726;848,904673
5; 1000_30_100;942,6925;;;;;;;;808,08105;885,8633;838,148515
6; 1000_30_100;944,29944;;;;;;;;818,13904;934,8592;877,601195
7; 1000_30_100;810,57355;;;;;;;;810,69403;930,77386;858,936234
8; 1000_30_100;926,0804;;Best;Worst;Average;;;;818,68964;916,2578;864,187537
9; 1000_30_100;858,79114;;810,57355;944,29944;886,519298;;;;826,6837;879,9467;852,089966
0; 1000_40_100;886,10724;;;;;;;;817,64813;934,8592;865,583812
1; 1000_40_100;887,5001;;;;;;;;817,64813;918,1072;865,029076
2; 1000_40_100;866,91846;;;;;;;;812,9034;955,55927;875,509241
3; 1000_40_100;901,4464;;;;;;;;822,8272;872,19464;845,708648
4; 1000_40_100;860,493;;;;;;;;817,2576;909,1046;856,169751
5; 1000_40_100;866,5831;;;;;;;;813,8405;916,57745;857,832279
6; 1000_40_100;841,23706;;;;;;;;813,8405;934,8592;853,043799
7; 1000_40_100;922,0187;;;;;;;;817,64813;917,53687;852,961744
8; 1000_40_100;832,6676;;Best;Worst;Average;;;;829,1403;928,8273;860,648122
9; 1000_40_100;971,3872;;832,6676;971,3872;883,635886;;;;817,64813;917,53687;867,601237
0; 1000_50_100;815,552;;;;;;;;826,7012;878,9878;848,328614
1; 1000_50_100;858,6152;;;;;;;;817,64813;916,57745;854,100562
2; 1000_50_100;869,65546;;;;;;;;817,2635;900,7763;848,050164
3; 1000_50_100;885,4203;;;;;;;;822,8272;917,53687;866,8125
4; 1000_50_100;898,48975;;;;;;;;829,90924;889,06976;860,984546
5; 1000_50_100;827,6825;;;;;;;;850,2056;885,6127;859,020576
6; 1000_50_100;876,39575;;;;;;;;814,3314;916,57745;859,31214
7; 1000_50_100;817,75433;;;;;;;;823,3181;917,53687;853,487927
8; 1000_50_100;895,1827;;Best;Worst;Average;;;;851,8831;917,53687;866,101497
9; 1000_50_100;839,2932;;815,552;898,48975;858,404119;;;;;;
0; 1000_60_100;899,2293;;;;;;;;;;
1; 1000_60_100;831,97626;;;;;;;;;;
2; 1000_60_100;908,1699;;;;;;;;;;
3; 1000_60_100;857,9781;;;;;;;;;;
4; 1000_60_100;864,51514;;;;;;;;;;
5; 1000_60_100;812,2496;;;;;;;;;;
6; 1000_60_100;889,0915;;;;;;;;;;
7; 1000_60_100;857,7192;;;;;;;;;;
8; 1000_60_100;923,41003;;Best;Worst;Average;;;;;;
9; 1000_60_100;853,0324;;812,2496;923,41003;869,737143;;;;;;
0; 1000_70_100;926,05206;;;;;;;;;;
1; 1000_70_100;921,6898;;;;;;;;;;
2; 1000_70_100;840,82355;;;;;;;;;;
3; 1000_70_100;955,126;;;;;;;;;;
4; 1000_70_100;908,1699;;;;;;;;;;
5; 1000_70_100;895,78937;;;;;;;;;;
6; 1000_70_100;827,0684;;;;;;;;;;
7; 1000_70_100;913,65186;;;;;;;;;;
8; 1000_70_100;826,3541;;Best;Worst;Average;;;;;;
9; 1000_70_100;880,4967;;826,3541;955,126;889,522174;;;;;;
0; 1000_80_100;817,75433;;;;;;;;;;
1; 1000_80_100;893,95013;;;;;;;;;;
2; 1000_80_100;846,2182;;;;;;;;;;
3; 1000_80_100;837,55994;;;;;;;;;;
4; 1000_80_100;865,1051;;;;;;;;;;
5; 1000_80_100;843,5422;;;;;;;;;;
6; 1000_80_100;857,1482;;;;;;;;;;
7; 1000_80_100;901,4464;;;;;;;;;;
8; 1000_80_100;892,445;;Best;Worst;Average;;;;;;
9; 1000_80_100;858,23047;;817,75433;901,4464;861,339997;;;;;;
0; 1000_90_100;885,6127;;;;;;;;;;
1; 1000_90_100;828,48773;;;;;;;;;;
2; 1000_90_100;865,4879;;;;;;;;;;
3; 1000_90_100;825,9694;;;;;;;;;;
4; 1000_90_100;849,715;;;;;;;;;;
5; 1000_90_100;928,8273;;;;;;;;;;
6; 1000_90_100;853,9477;;;;;;;;;;
7; 1000_90_100;891,2091;;;;;;;;;;
8; 1000_90_100;955,55927;;Best;Worst;Average;;;;;;
9; 1000_90_100;916,4556;;825,9694;955,55927;880,12717;;;;;;
0; 1000_100_100;886,77985;;;;;;;;;;
1; 1000_100_100;862,6924;;;;;;;;;;
2; 1000_100_100;853,4399;;;;;;;;;;
3; 1000_100_100;822,44257;;;;;;;;;;
4; 1000_100_100;830,7624;;;;;;;;;;
5; 1000_100_100;851,5851;;;;;;;;;;
6; 1000_100_100;884,1588;;;;;;;;;;
7; 1000_100_100;817,2635;;;;;;;;;;
8; 1000_100_100;882,94586;;Best;Worst;Average;;;;;;
9; 1000_100_100;822,8272;;817,2635;886,77985;851,489758;;;;;;
0; 1000_110_100;849,6792;;;;;;;;;;
1; 1000_110_100;847,7368;;;;;;;;;;
2; 1000_110_100;883,40924;;;;;;;;;;
3; 1000_110_100;885,6127;;;;;;;;;;
4; 1000_110_100;880,33136;;;;;;;;;;
5; 1000_110_100;821,64325;;;;;;;;;;
6; 1000_110_100;882,98004;;;;;;;;;;
7; 1000_110_100;830,5357;;;;;;;;;;
8; 1000_110_100;900,84894;;Best;Worst;Average;;;;;;
9; 1000_110_100;851,54456;;821,64325;900,84894;863,432179;;;;;;
0; 1000_120_100;826,84503;;;;;;;;;;
1; 1000_120_100;817,5276;;;;;;;;;;
2; 1000_120_100;822,5465;;;;;;;;;;
3; 1000_120_100;828,0035;;;;;;;;;;
4; 1000_120_100;844,0277;;;;;;;;;;
5; 1000_120_100;896,51086;;;;;;;;;;
6; 1000_120_100;885,6127;;;;;;;;;;
7; 1000_120_100;860,32056;;;;;;;;;;
8; 1000_120_100;886,5443;;Best;Worst;Average;;;;;;
9; 1000_120_100;822,8272;;817,5276;896,51086;849,076595;;;;;;
0; 1000_130_100;825,84314;;;;;;;;;;
1; 1000_130_100;817,64813;;;;;;;;;;
2; 1000_130_100;916,57916;;;;;;;;;;
3; 1000_130_100;832,5036;;;;;;;;;;
4; 1000_130_100;824,54065;;;;;;;;;;
5; 1000_130_100;808,2016;;;;;;;;;;
6; 1000_130_100;892,3079;;;;;;;;;;
7; 1000_130_100;955,55927;;;;;;;;;;
8; 1000_130_100;895,4024;;Best;Worst;Average;;;;;;
9; 1000_130_100;827,77344;;808,2016;955,55927;859,635929;;;;;;
0; 1000_140_100;853,7665;;;;;;;;;;
1; 1000_140_100;893,4537;;;;;;;;;;
2; 1000_140_100;881,6477;;;;;;;;;;
3; 1000_140_100;853,50183;;;;;;;;;;
4; 1000_140_100;817,2576;;;;;;;;;;
5; 1000_140_100;914,91003;;;;;;;;;;
6; 1000_140_100;883,48145;;;;;;;;;;
7; 1000_140_100;817,86865;;;;;;;;;;
8; 1000_140_100;818,13904;;Best;Worst;Average;;;;;;
9; 1000_140_100;863,77795;;817,2576;914,91003;859,780445;;;;;;
0; 1000_150_100;890,82434;;;;;;;;;;
1; 1000_150_100;928,8273;;;;;;;;;;
2; 1000_150_100;817,75433;;;;;;;;;;
3; 1000_150_100;922,58417;;;;;;;;;;
4; 1000_150_100;810,6941;;;;;;;;;;
5; 1000_150_100;932,11194;;;;;;;;;;
6; 1000_150_100;826,3541;;;;;;;;;;
7; 1000_150_100;883,6824;;;;;;;;;;
8; 1000_150_100;889,0067;;Best;Worst;Average;;;;;;
9; 1000_150_100;892,6015;;810,6941;932,11194;879,444088;;;;;;
0; 1000_160_100;826,3541;;;;;;;;;;
1; 1000_160_100;895,73535;;;;;;;;;;
2; 1000_160_100;877,7343;;;;;;;;;;
3; 1000_160_100;878,6031;;;;;;;;;;
4; 1000_160_100;828,09015;;;;;;;;;;
5; 1000_160_100;823,1743;;;;;;;;;;
6; 1000_160_100;896,50726;;;;;;;;;;
7; 1000_160_100;826,9548;;;;;;;;;;
8; 1000_160_100;817,75433;;Best;Worst;Average;;;;;;
9; 1000_160_100;818,13904;;817,75433;896,50726;848,904673;;;;;;
0; 1000_170_100;808,08105;;;;;;;;;;
1; 1000_170_100;824,5119;;;;;;;;;;
2; 1000_170_100;849,6792;;;;;;;;;;
3; 1000_170_100;860,3221;;;;;;;;;;
4; 1000_170_100;830,9133;;;;;;;;;;
5; 1000_170_100;816,4642;;;;;;;;;;
6; 1000_170_100;819,3616;;;;;;;;;;
7; 1000_170_100;829,1403;;;;;;;;;;
8; 1000_170_100;885,8633;;Best;Worst;Average;;;;;;
9; 1000_170_100;857,1482;;808,08105;885,8633;838,148515;;;;;;
0; 1000_180_100;934,8592;;;;;;;;;;
1; 1000_180_100;851,8831;;;;;;;;;;
2; 1000_180_100;903,0322;;;;;;;;;;
3; 1000_180_100;839,61005;;;;;;;;;;
4; 1000_180_100;889,06976;;;;;;;;;;
5; 1000_180_100;927,1083;;;;;;;;;;
6; 1000_180_100;885,6127;;;;;;;;;;
7; 1000_180_100;842,926;;;;;;;;;;
8; 1000_180_100;818,13904;;Best;Worst;Average;;;;;;
9; 1000_180_100;883,7716;;818,13904;934,8592;877,601195;;;;;;
0; 1000_190_100;810,69403;;;;;;;;;;
1; 1000_190_100;817,86865;;;;;;;;;;
2; 1000_190_100;830,8686;;;;;;;;;;
3; 1000_190_100;850,7972;;;;;;;;;;
4; 1000_190_100;885,6127;;;;;;;;;;
5; 1000_190_100;885,6127;;;;;;;;;;
6; 1000_190_100;825,1701;;;;;;;;;;
7; 1000_190_100;930,77386;;;;;;;;;;
8; 1000_190_100;901,7589;;Best;Worst;Average;;;;;;
9; 1000_190_100;850,2056;;810,69403;930,77386;858,936234;;;;;;
0; 1000_200_100;853,7665;;;;;;;;;;
1; 1000_200_100;826,46027;;;;;;;;;;
2; 1000_200_100;818,68964;;;;;;;;;;
3; 1000_200_100;850,0997;;;;;;;;;;
4; 1000_200_100;885,6127;;;;;;;;;;
5; 1000_200_100;856,22626;;;;;;;;;;
6; 1000_200_100;893,4537;;;;;;;;;;
7; 1000_200_100;850,0997;;;;;;;;;;
8; 1000_200_100;891,2091;;Best;Worst;Average;;;;;;
9; 1000_200_100;916,2578;;818,68964;916,2578;864,187537;;;;;;
0; 1000_210_100;879,9467;;;;;;;;;;
1; 1000_210_100;852,2044;;;;;;;;;;
2; 1000_210_100;872,63763;;;;;;;;;;
3; 1000_210_100;826,6837;;;;;;;;;;
4; 1000_210_100;850,691;;;;;;;;;;
5; 1000_210_100;851,92926;;;;;;;;;;
6; 1000_210_100;827,20764;;;;;;;;;;
7; 1000_210_100;878,9878;;;;;;;;;;
8; 1000_210_100;826,84503;;Best;Worst;Average;;;;;;
9; 1000_210_100;853,7665;;826,6837;879,9467;852,089966;;;;;;
0; 1000_220_100;852,48895;;;;;;;;;;
1; 1000_220_100;826,7012;;;;;;;;;;
2; 1000_220_100;853,4845;;;;;;;;;;
3; 1000_220_100;934,8592;;;;;;;;;;
4; 1000_220_100;880,33136;;;;;;;;;;
5; 1000_220_100;826,84503;;;;;;;;;;
6; 1000_220_100;893,069;;;;;;;;;;
7; 1000_220_100;877,7343;;;;;;;;;;
8; 1000_220_100;817,64813;;Best;Worst;Average;;;;;;
9; 1000_220_100;892,67645;;817,64813;934,8592;865,583812;;;;;;
0; 1000_230_100;918,1072;;;;;;;;;;
1; 1000_230_100;885,6127;;;;;;;;;;
2; 1000_230_100;884,1661;;;;;;;;;;
3; 1000_230_100;851,8831;;;;;;;;;;
4; 1000_230_100;851,8831;;;;;;;;;;
5; 1000_230_100;850,2056;;;;;;;;;;
6; 1000_230_100;877,7343;;;;;;;;;;
7; 1000_230_100;895,4024;;;;;;;;;;
8; 1000_230_100;817,64813;;Best;Worst;Average;;;;;;
9; 1000_230_100;817,64813;;817,64813;918,1072;865,029076;;;;;;
0; 1000_240_100;815,8731;;;;;;;;;;
1; 1000_240_100;823,3181;;;;;;;;;;
2; 1000_240_100;887,7095;;;;;;;;;;
3; 1000_240_100;885,22797;;;;;;;;;;
4; 1000_240_100;852,5445;;;;;;;;;;
5; 1000_240_100;812,9034;;;;;;;;;;
6; 1000_240_100;917,53687;;;;;;;;;;
7; 1000_240_100;918,807;;;;;;;;;;
8; 1000_240_100;955,55927;;Best;Worst;Average;;;;;;
9; 1000_240_100;885,6127;;812,9034;955,55927;875,509241;;;;;;
0; 1000_250_100;872,19464;;;;;;;;;;
1; 1000_250_100;850,2056;;;;;;;;;;
2; 1000_250_100;853,4845;;;;;;;;;;
3; 1000_250_100;853,7665;;;;;;;;;;
4; 1000_250_100;851,9936;;;;;;;;;;
5; 1000_250_100;851,8831;;;;;;;;;;
6; 1000_250_100;827,20764;;;;;;;;;;
7; 1000_250_100;850,2056;;;;;;;;;;
8; 1000_250_100;822,8272;;Best;Worst;Average;;;;;;
9; 1000_250_100;823,3181;;822,8272;872,19464;845,708648;;;;;;
0; 1000_260_100;851,8831;;;;;;;;;;
1; 1000_260_100;829,1403;;;;;;;;;;
2; 1000_260_100;909,1046;;;;;;;;;;
3; 1000_260_100;826,46027;;;;;;;;;;
4; 1000_260_100;903,3968;;;;;;;;;;
5; 1000_260_100;829,90924;;;;;;;;;;
6; 1000_260_100;817,2576;;;;;;;;;;
7; 1000_260_100;882,5788;;;;;;;;;;
8; 1000_260_100;885,6127;;Best;Worst;Average;;;;;;
9; 1000_260_100;826,3541;;817,2576;909,1046;856,169751;;;;;;
0; 1000_270_100;852,6663;;;;;;;;;;
1; 1000_270_100;866,09607;;;;;;;;;;
2; 1000_270_100;823,3181;;;;;;;;;;
3; 1000_270_100;916,57745;;;;;;;;;;
4; 1000_270_100;860,859;;;;;;;;;;
5; 1000_270_100;813,8405;;;;;;;;;;
6; 1000_270_100;853,7665;;;;;;;;;;
7; 1000_270_100;853,7665;;;;;;;;;;
8; 1000_270_100;852,2044;;Best;Worst;Average;;;;;;
9; 1000_270_100;885,22797;;813,8405;916,57745;857,832279;;;;;;
0; 1000_280_100;853,7665;;;;;;;;;;
1; 1000_280_100;818,68964;;;;;;;;;;
2; 1000_280_100;853,4845;;;;;;;;;;
3; 1000_280_100;883,6824;;;;;;;;;;
4; 1000_280_100;813,8405;;;;;;;;;;
5; 1000_280_100;853,7665;;;;;;;;;;
6; 1000_280_100;851,49835;;;;;;;;;;
7; 1000_280_100;843,5323;;;;;;;;;;
8; 1000_280_100;823,3181;;Best;Worst;Average;;;;;;
9; 1000_280_100;934,8592;;813,8405;934,8592;853,043799;;;;;;
0; 1000_290_100;853,4845;;;;;;;;;;
1; 1000_290_100;853,7665;;;;;;;;;;
2; 1000_290_100;851,9936;;;;;;;;;;
3; 1000_290_100;852,48895;;;;;;;;;;
4; 1000_290_100;852,2044;;;;;;;;;;
5; 1000_290_100;826,84503;;;;;;;;;;
6; 1000_290_100;880,33136;;;;;;;;;;
7; 1000_290_100;823,3181;;;;;;;;;;
8; 1000_290_100;817,64813;;Best;Worst;Average;;;;;;
9; 1000_290_100;917,53687;;817,64813;917,53687;852,961744;;;;;;
0; 1000_300_100;844,0277;;;;;;;;;;
1; 1000_300_100;911,86237;;;;;;;;;;
2; 1000_300_100;853,7665;;;;;;;;;;
3; 1000_300_100;829,1403;;;;;;;;;;
4; 1000_300_100;852,6999;;;;;;;;;;
5; 1000_300_100;850,0997;;;;;;;;;;
6; 1000_300_100;852,48895;;;;;;;;;;
7; 1000_300_100;852,6999;;;;;;;;;;
8; 1000_300_100;830,8686;;Best;Worst;Average;;;;;;
9; 1000_300_100;928,8273;;829,1403;928,8273;860,648122;;;;;;
0; 1000_310_100;853,4845;;;;;;;;;;
1; 1000_310_100;830,8686;;;;;;;;;;
2; 1000_310_100;917,53687;;;;;;;;;;
3; 1000_310_100;853,7665;;;;;;;;;;
4; 1000_310_100;851,8831;;;;;;;;;;
5; 1000_310_100;903,3968;;;;;;;;;;
6; 1000_310_100;883,6824;;;;;;;;;;
7; 1000_310_100;851,8831;;;;;;;;;;
8; 1000_310_100;817,64813;;Best;Worst;Average;;;;;;
9; 1000_310_100;911,86237;;817,64813;917,53687;867,601237;;;;;;
0; 1000_320_100;878,9878;;;;;;;;;;
1; 1000_320_100;829,90924;;;;;;;;;;
2; 1000_320_100;851,8831;;;;;;;;;;
3; 1000_320_100;851,8831;;;;;;;;;;
4; 1000_320_100;826,7012;;;;;;;;;;
5; 1000_320_100;853,7665;;;;;;;;;;
6; 1000_320_100;852,2044;;;;;;;;;;
7; 1000_320_100;852,2044;;;;;;;;;;
8; 1000_320_100;853,7665;;Best;Worst;Average;;;;;;
9; 1000_320_100;831,9799;;826,7012;878,9878;848,328614;;;;;;
0; 1000_330_100;853,7665;;;;;;;;;;
1; 1000_330_100;885,6127;;;;;;;;;;
2; 1000_330_100;817,99524;;;;;;;;;;
3; 1000_330_100;851,8831;;;;;;;;;;
4; 1000_330_100;916,57745;;;;;;;;;;
5; 1000_330_100;817,64813;;;;;;;;;;
6; 1000_330_100;851,92926;;;;;;;;;;
7; 1000_330_100;869,42084;;;;;;;;;;
8; 1000_330_100;823,3181;;Best;Worst;Average;;;;;;
9; 1000_330_100;852,8543;;817,64813;916,57745;854,100562;;;;;;
0; 1000_340_100;853,7665;;;;;;;;;;
1; 1000_340_100;853,7665;;;;;;;;;;
2; 1000_340_100;853,7665;;;;;;;;;;
3; 1000_340_100;829,90924;;;;;;;;;;
4; 1000_340_100;843,9629;;;;;;;;;;
5; 1000_340_100;823,3181;;;;;;;;;;
6; 1000_340_100;853,7665;;;;;;;;;;
7; 1000_340_100;850,2056;;;;;;;;;;
8; 1000_340_100;900,7763;;Best;Worst;Average;;;;;;
9; 1000_340_100;817,2635;;817,2635;900,7763;848,050164;;;;;;
0; 1000_350_100;853,7665;;;;;;;;;;
1; 1000_350_100;917,53687;;;;;;;;;;
2; 1000_350_100;853,7665;;;;;;;;;;
3; 1000_350_100;853,7665;;;;;;;;;;
4; 1000_350_100;822,8272;;;;;;;;;;
5; 1000_350_100;823,3181;;;;;;;;;;
6; 1000_350_100;889,06976;;;;;;;;;;
7; 1000_350_100;883,6824;;;;;;;;;;
8; 1000_350_100;917,53687;;Best;Worst;Average;;;;;;
9; 1000_350_100;852,8543;;822,8272;917,53687;866,8125;;;;;;
0; 1000_360_100;853,7665;;;;;;;;;;
1; 1000_360_100;885,6127;;;;;;;;;;
2; 1000_360_100;878,9878;;;;;;;;;;
3; 1000_360_100;853,7665;;;;;;;;;;
4; 1000_360_100;853,7665;;;;;;;;;;
5; 1000_360_100;829,90924;;;;;;;;;;
6; 1000_360_100;889,06976;;;;;;;;;;
7; 1000_360_100;853,7665;;;;;;;;;;
8; 1000_360_100;830,8686;;Best;Worst;Average;;;;;;
9; 1000_360_100;880,33136;;829,90924;889,06976;860,984546;;;;;;
0; 1000_370_100;851,8831;;;;;;;;;;
1; 1000_370_100;853,7665;;;;;;;;;;
2; 1000_370_100;885,6127;;;;;;;;;;
3; 1000_370_100;855,5059;;;;;;;;;;
4; 1000_370_100;850,2056;;;;;;;;;;
5; 1000_370_100;880,33136;;;;;;;;;;
6; 1000_370_100;851,8831;;;;;;;;;;
7; 1000_370_100;853,7665;;;;;;;;;;
8; 1000_370_100;853,7665;;Best;Worst;Average;;;;;;
9; 1000_370_100;853,4845;;850,2056;885,6127;859,020576;;;;;;
0; 1000_380_100;853,7665;;;;;;;;;;
1; 1000_380_100;853,7665;;;;;;;;;;
2; 1000_380_100;814,3314;;;;;;;;;;
3; 1000_380_100;916,57745;;;;;;;;;;
4; 1000_380_100;823,3181;;;;;;;;;;
5; 1000_380_100;853,4845;;;;;;;;;;
6; 1000_380_100;853,7665;;;;;;;;;;
7; 1000_380_100;853,7665;;;;;;;;;;
8; 1000_380_100;916,57745;;Best;Worst;Average;;;;;;
9; 1000_380_100;853,7665;;814,3314;916,57745;859,31214;;;;;;
0; 1000_390_100;823,3181;;;;;;;;;;
1; 1000_390_100;853,7665;;;;;;;;;;
2; 1000_390_100;853,7665;;;;;;;;;;
3; 1000_390_100;853,7665;;;;;;;;;;
4; 1000_390_100;823,3181;;;;;;;;;;
5; 1000_390_100;853,7665;;;;;;;;;;
6; 1000_390_100;853,7665;;;;;;;;;;
7; 1000_390_100;849,8801;;;;;;;;;;
8; 1000_390_100;851,9936;;Best;Worst;Average;;;;;;
9; 1000_390_100;917,53687;;823,3181;917,53687;853,487927;;;;;;
0; 1000_400_100;878,9878;;;;;;;;;;
1; 1000_400_100;893,4537;;;;;;;;;;
2; 1000_400_100;853,7665;;;;;;;;;;
3; 1000_400_100;917,53687;;;;;;;;;;
4; 1000_400_100;853,7665;;;;;;;;;;
5; 1000_400_100;853,7665;;;;;;;;;;
6; 1000_400_100;853,7665;;;;;;;;;;
7; 1000_400_100;851,8831;;;;;;;;;;
8; 1000_400_100;852,2044;;Best;Worst;Average;;;;;;
9; 1000_400_100;851,8831;;851,8831;917,53687;866,101497;;;;;;
