0; 450_950_0.65_0.1_175;986,0353;;;;;
1; 450_950_0.65_0.1_175;1143,9875;;;;;
2; 450_950_0.65_0.1_175;1083,097;;;;;
3; 450_950_0.65_0.1_175;1171,7716;;;;;
4; 450_950_0.65_0.1_175;1166,8794;;;;;
5; 450_950_0.65_0.1_175;1057,6056;;;;;
6; 450_950_0.65_0.1_175;1082,3065;;;;;
7; 450_950_0.65_0.1_175;1076,0596;;;;;
8; 450_950_0.65_0.1_175;1083,6799;;;;;
9; 450_950_0.65_0.1_175;1129,492;;;;;
10; 450_950_0.65_0.1_175;1074,9597;;;;;
11; 450_950_0.65_0.1_175;1009,63214;;;;;
12; 450_950_0.65_0.1_175;1081,5654;;;;;
13; 450_950_0.65_0.1_175;1250,9163;;;;;
14; 450_950_0.65_0.1_175;1085,1713;;;;;
15; 450_950_0.65_0.1_175;1066,2026;;;;;
16; 450_950_0.65_0.1_175;1068,0205;;;;;
17; 450_950_0.65_0.1_175;1082,7362;;;;;
18; 450_950_0.65_0.1_175;1052,7926;;Best;Worst;Avg;Std
19; 450_950_0.65_0.1_175;1027,4242;;986,0353;1250,9163;1089,016767;58,44962042
